gene	SRR2038194	SRR2038195	SRR2038196	SRR2038197
Ppp1r12b	471	593	360	171
Ube2t	98	171	119	68
Lgr6	152	269	2	0
Ptprv	860	1314	238	181
Ptpn7	153	174	94	34
Arl8a	2151	2905	3318	1757
Gpr37l1	124	179	18	18
Elf3	2944	5290	2695	1828
Rnpep	3492	4808	3827	2172
Timm17a	1053	1363	1342	782
Lmod1	186	316	164	108
Shisa4	525	730	717	343
Ipo9	1748	2441	2098	1344
Nav1	1057	1637	925	471
Csrp1	13626	8471	17118	4923
Phlda3	1026	2100	1097	782
Tnni1	794	1008	84	59
Lad1	20725	29303	41178	22797
Tnnt2	1235	2092	1349	924
Pkp1	7919	12968	10831	5233
Igfn1	1475	2049	21	7
Tmem9	354	480	419	269
Cacna1s	1176	1235	3787	1581
6530439I21	2	2	4	2
Kif21b	998	1292	1275	632
5730559C18Rik	664	1056	686	408
Gpr25	60	92	70	42
Camsap2	1079	1500	1427	699
9230116N13Rik	15	14	11	7
Ddx59	209	278	206	167
Kif14	328	439	298	255
Zfp281	821	680	1178	411
Gm19705	12	24	7	4
Gm16880	7	3	0	0
Nr5a2	122	136	257	166
Mir181a-1	0	0	0	0
Mir181b-1	0	1	0	0
Ptprc	546	397	384	75
Atp6v1g3	55	128	15	14
Nek7	899	1423	1488	844
Gm5833	1	3	0	0
Lhx9	16	15	0	0
2310009B15Rik	62	48	62	40
Dennd1b	669	895	1034	532
Crb1	114	187	111	78
4933436E23Rik	1	3	7	2
Zbtb41	1342	1390	1764	786
Aspm	3067	2618	3880	1524
F13b	52	82	21	17
Cfhr1	17	47	59	43
Gm4788	3	8	1	0
Cfhr2	6	16	6	10
Cfh	45	54	13	5
Kcnt2	30	32	4	3
4930590L20Rik	0	0	0	0
Cdc73	1270	1636	1743	864
B3galt2	213	596	535	529
Glrx2	380	649	517	333
Trove2	738	926	849	432
Uchl5	612	804	771	423
Rgs2	604	646	581	233
Rgs13	41	88	38	30
Rgs1	266	244	457	121
Rgs18	6	1	0	0
Fam5c	291	566	655	398
Pla2g4a	3704	5408	7014	4059
7530420F21Rik	59	97	107	77
Ptgs2	20843	24458	46174	20671
Pdc	16	25	1	0
2310030A07Rik	3	10	0	0
BC003331	760	1147	1207	657
Tpr	6241	8142	7592	4180
Prg4	2406	4423	120	101
Hmcn1	133	218	23	9
C730036E19Rik	35	60	25	8
Ivns1abp	5688	7367	7305	3948
1200016B10Rik	346	534	446	254
1190005F20Rik	858	1718	1079	912
Rnf2	611	713	704	346
Fam129a	4889	6587	7673	3359
Edem3	1634	2515	1958	1104
1700025G04Rik	2241	3485	4309	2430
Tsen15	87	141	121	95
Glt25d2	51	81	13	9
Rgl1	437	620	633	450
Apobec4	11	23	1	2
Arpc5	5131	6556	8528	4539
Ncf2	903	1210	1856	1082
Smg7	5175	6921	10938	6496
Nmnat2	467	805	482	322
Lamc2	7311	9714	6714	3757
Lamc1	1274	1556	1635	934
E330020D12Rik	54	55	10	4
